participant,task,step,x0,x1,x2,x3,choice,target,time
1,3,5,-0.94,-0.32,-0.04,1.87,1,0,2989486.00
1,3,6,2.68,-0.72,0.67,0.60,1,0,2991489.00
1,3,7,0.57,0.05,0.31,1.09,1,0,2993950.00
1,3,8,0.00,-0.31,-0.11,-0.75,0,1,2996304.00
1,3,9,0.23,0.21,0.92,0.23,0,0,2998486.00
1,4,0,-0.44,0.28,-1.13,-1.11,0,1,3016088.00
1,4,1,-0.54,0.28,-1.70,1.21,1,1,3018173.00
1,4,2,-1.16,1.26,1.01,1.91,1,0,3020214.00
1,4,3,0.11,-1.83,-0.51,1.05,0,0,3022240.00
1,4,4,-2.91,3.66,0.06,-1.18,1,0,3024257.00
1,4,5,-1.16,0.26,-2.34,1.89,0,0,3026311.00
1,4,6,1.31,-1.52,0.10,-1.24,1,1,3441545.00
1,4,7,-2.28,2.37,-2.07,-0.11,1,1,3443602.00
1,4,8,0.80,-1.26,-1.18,-1.11,0,1,3445941.00
1,4,9,-2.68,0.92,0.02,2.96,1,0,3448294.00
1,5,0,0.09,0.08,1.68,0.25,0,1,3453725.00
1,5,1,1.71,2.90,-0.98,0.32,1,1,3455981.00
1,5,2,0.41,0.73,-0.57,1.22,1,1,3458389.00
1,5,3,2.20,0.53,-3.37,-1.95,0,1,3460690.00
1,5,4,-2.01,-2.11,0.76,1.10,1,0,3462944.00
1,5,5,-0.02,0.24,0.55,1.01,1,0,3464548.00
1,5,6,-1.67,-0.95,1.39,0.52,0,0,3467008.00
1,5,7,-0.51,-1.57,-1.95,-2.64,0,0,3469295.00
1,5,8,-0.36,-1.28,-2.24,-1.06,0,0,3471582.00
1,5,9,0.18,-0.89,1.64,-1.58,1,1,3474299.00
1,6,0,1.55,-0.15,1.26,0.49,0,0,3479802.00
1,6,1,-0.37,1.67,-1.53,-1.67,1,1,3482918.00
1,6,2,3.93,-1.63,-2.39,-0.67,0,0,3486223.00
1,6,3,-2.01,-0.91,1.80,-0.11,1,1,3488563.00
1,6,4,3.01,-0.43,-1.92,-2.37,0,1,3490848.00
1,6,5,-1.97,1.04,0.75,2.69,0,0,3493260.00
1,6,6,1.02,0.01,0.44,0.67,1,0,3495606.00
1,6,7,1.46,0.85,-2.94,0.17,0,0,3497910.00
1,6,8,1.99,1.49,-1.88,-1.21,0,0,3500451.00
1,6,9,-2.26,-0.69,0.31,1.91,1,0,3502765.00
1,7,0,0.81,1.95,1.03,1.65,0,0,3516730.00
1,7,1,0.47,0.93,0.91,1.26,0,0,3518778.00
1,7,2,0.46,0.14,1.09,-0.87,0,1,3520975.00
1,7,3,0.66,-1.65,2.46,-1.71,0,1,3523041.00
1,7,4,0.92,1.59,-0.95,0.88,0,0,3525428.00
1,7,5,-0.02,-0.72,-0.86,-2.23,0,1,3527888.00
1,7,6,1.15,1.33,-0.31,-0.27,0,0,3530016.00
1,7,7,-0.92,-2.02,0.96,-2.40,0,1,3532058.00
1,7,8,-2.23,-0.66,0.85,-0.70,0,1,3534153.00
1,7,9,-1.35,0.79,-1.19,1.22,0,0,3536301.00
1,8,0,0.31,-1.01,1.45,0.50,0,1,3547702.00
1,8,1,1.26,0.16,0.72,-1.41,1,1,3550027.00
1,8,2,-0.89,1.86,-1.14,-2.84,1,1,3552293.00
1,8,3,-1.72,0.49,-0.10,-0.09,0,1,3554590.00
1,8,4,3.90,2.23,4.04,-2.28,1,1,3556905.00
1,8,5,0.20,-0.18,-0.31,-0.72,1,0,3559194.00
1,8,6,1.37,-0.71,0.87,0.61,0,0,3561571.00
1,8,7,1.72,1.37,2.18,-2.57,0,1,3563827.00
1,8,8,-1.56,-2.00,-0.71,1.84,1,0,3566099.00
1,8,9,-0.68,-0.30,-0.31,0.31,1,0,3568345.00
1,9,0,0.97,0.07,-0.90,-0.88,1,0,7040272.00
1,9,1,1.98,-2.06,-2.15,-2.88,0,0,7042537.00
1,9,2,2.21,-0.58,-0.78,-3.10,1,0,7044834.00
1,9,3,1.24,1.66,1.55,0.15,1,0,7047113.00
1,9,4,0.15,-0.37,-1.89,-1.38,0,1,7049402.00
1,9,5,-1.15,-2.59,-1.00,2.45,1,1,7051750.00
1,9,6,-0.62,-1.44,0.69,-0.07,1,1,7054143.00
1,9,7,-0.30,-0.73,-0.85,0.17,1,1,7056847.00
1,9,8,-0.26,-1.57,-1.15,-0.02,1,1,7059403.00
1,9,9,0.86,1.95,-0.54,0.00,1,0,7061700.00
1,10,0,1.42,-0.40,-0.03,0.61,1,1,7074092.00
1,10,1,1.03,0.85,0.37,-1.14,0,1,7076371.00
1,10,2,0.42,-0.20,-1.13,2.36,1,0,7078793.00
1,10,3,-0.28,2.12,-2.28,2.05,1,1,7081114.00
1,10,4,-1.38,0.14,0.09,-1.39,0,0,7083394.00
1,10,5,-0.78,-3.50,1.01,0.89,1,0,7085691.00
1,10,6,1.56,3.27,0.77,-0.68,1,1,7087926.00
1,10,7,1.51,-0.12,1.39,-2.13,0,1,7090209.00
1,10,8,-0.11,1.27,0.29,-1.72,0,1,7092562.00
